Source:,,,http://www.mext.go.jp/component/a_menu/science/detail/__icsFiles/afieldfile/2017/12/25/1365334_1r12.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title: ,,,日本食品標準成分表2015年版（七訂）抜粋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,更新日：2017年12月27日
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食品群,食品番号,索引番号,食品名,廃 棄 率,,,一般成分,一般成分,一般成分,一般成分,一般成分,,,,,一般成分,一般成分,,,,一般成分,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,無機質,"ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン
(ビタミンA)","ビタミン　
(ビタミンA)","ビタミン
(ビタミンA)",ビタミン,"ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)","ビタミン　
(ビタミンE)",ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,ビタミン,,,,,,,,,,,,備考
,,,,,エネルギー（kcal）,エネルギー（kJ),水   分,たんぱく質,アミノ酸組成によるたんぱく質,脂   質,トリアシルグリセロール当量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,コレステロール,炭水化物,利用可能炭水化物（単糖当量）,水溶性食物繊維,不溶性食物繊維,食物繊維総量,灰   分,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,レチノール,α-カロテン,β-カロテン,β-クリプトキサンチン,β-カロテン当量,レチノール活性当量,ビタミンD,α-トコフェロール,β-トコフェロール,γ-トコフェロール,δ-トコフェロール,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,食塩相当量,アルコール,硝酸イオン,テオブロミン,カフェイン,タンニン,ポリフェノール,酢酸,調理油,有機酸,重量変化率,
,,,Tagnames,REFUSE,"ENERC_
KCAL",ENERC,WATER,－,PROTCAA,－,FATNLEA,FASAT,FAMS,FAPU,CHOLE,－,CHOAVLM,FIBSOL,FIBINS, FIBTG,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA ,CARTB ,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB ,TOCPHG,TOCPHD,VITK,THIAHCL ,RIBF,NIA,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,NACL_EQ,ALC,NITRA ,THEBRN,CAFFN ,TAN,POLYPHENT,ACEAC,－,OA,－,
,,,単位,%,kcal/100 g,kJ/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 ｇ,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,µg/100 g,µg/100 g,mg/100 g,µg/100 g,mg/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,%,
01,01047,45,こむぎ　［中華めん類］　中華めん　生　,0,281,1176,33.0,8.6,8.3,1.2,(1.0),(0.28),(0.11),(0.61),(0),55.7,52.2,0.7,1.4,2.1,1.5,410,350,21,13,66,0.5,0.4,0.09,0.35,Tr,33,1,20,(0),0,0,0,0,(0),(0),0.2,0.1,0,0,(0),0.02,0.02,0.6,0.02,(0),8,0.55,1.0,(0),1.0,-,-,-,-,-,-,-,-,-,-,　 
06,06061,455,（キャベツ類）　キャベツ　結球葉　生　　,15,23,96,92.7,1.3,0.9,0.2,0.1,0.02,0.01,0.02,(0),5.2,3.5,0.4,1.4,1.8,0.5,5,200,43,14,27,0.3,0.2,0.02,0.16,0,Tr,1,4,(0),0,49,1,50,4,(0),0.1,0,0,0,78,0.04,0.03,0.2,0.11,(0),78,0.22,1.6,41,0,-,0.1,-,-,-,-,-,-,0.1,-,"別名： かんらん、たまな
廃棄部位： しん　 "
06,06287,709,（もやし類）　だいずもやし　生　　,4,37,155,92.0,3.7,2.8,1.5,1.2,0.20,0.20,0.78,Tr,2.3,0.6,0.2,2.1,2.3,0.5,3,160,23,23,51,0.5,0.4,0.12,0.30,-,-,-,-,(0),(0),Tr,(0),(Tr),(0),(0),0.5,0.1,1.6,0.8,57,0.09,0.07,0.4,0.08,(0),85,0.36,-,5,0,-,0,-,-,-,-,-,-,-,-,廃棄部位： 種皮及び損傷部　 
11,11119,1593,＜畜肉類＞ぶた　［大型種肉］　かたロース　脂身つき　生　,0,253,1059,62.6,17.1,(14.7),19.2,18.4,7.26,8.17,2.10,69,0.1,-,(0),(0),(0),1.0,54,300,4,18,160,0.6,2.7,0.09,0.01,-,-,-,-,6,-,-,-,0,6,0.3,0.4,0,Tr,0,2,0.63,0.23,3.6,0.28,0.5,2,1.18,-,2,0.1,-,-,-,-,-,-,-,-,-,-,皮下脂肪： 5.7 %、筋間脂肪： 12.4 %　 
14,14006,1826,（植物油脂類）　調合油　　　,0,921,3853,0,0,-,100.0,97.2,10.97,41.10,40.94,2,0,-,0,0,0,0,0,Tr,Tr,0,Tr,0,Tr,0,0,0,0,0,0,0,0,0,0,0,0,(0),12.8,1.2,56.4,10.9,170,0,0,0,(0),(0),(0),(0),0,(0),0,-,-,-,-,-,-,-,-,-,-,"試料： 精製油及びサラダ油
配合割合： なたね油1、大豆油1　 "
14,14016,1839,（動物脂類）　ラード　　　,0,941,3937,0,0,-,100.0,97.0,39.29,43.56,9.81,100,0,-,0,0,0,0,0,0,0,0,0,0,Tr,Tr,-,0,0,0,0,0,-,-,-,0,0,0.2,0.3,Tr,0.1,Tr,7,0,0,0,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,"別名： 豚脂
試料： 精製品　 "
